query,design,instance_path,locations
Cwe1234,cv32e40p_fp_wrapper,cwe1234,"locked_register@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/cv32e40p_fp_wrapper_netlist.v:[4699-4703,4740-4741,4743-4745,4751-4768] | not_gate@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/cv32e40p_fp_wrapper_netlist.v:[4694] | rec_or@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/cv32e40p_fp_wrapper_netlist.v:[4695] | top_and@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/cv32e40p_fp_wrapper_netlist.v:[4698] | unlock_logic@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/cv32e40p_fp_wrapper_netlist.v:[4698]"
Cwe1234,soc_interconnect_wrap,cwe1234,"locked_register@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/soc_interconnect_wrap_netlist.v:[65213-65215,65217-65219,65229,65243] | not_gate@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/soc_interconnect_wrap_netlist.v:[65233,65238] | rec_or@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/soc_interconnect_wrap_netlist.v:[65239] | top_and@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/soc_interconnect_wrap_netlist.v:[65232] | unlock_logic@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/soc_interconnect_wrap_netlist.v:[65232]"
Cwe1234,soc_interconnect_wrap,cwe1234,"locked_register@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/soc_interconnect_wrap_netlist.v:[64594-64596,64598-64600,64610,64624] | not_gate@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/soc_interconnect_wrap_netlist.v:[64614,64619] | rec_or@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/soc_interconnect_wrap_netlist.v:[64620] | top_and@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/soc_interconnect_wrap_netlist.v:[64613] | unlock_logic@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/soc_interconnect_wrap_netlist.v:[64613]"
Cwe1234,soc_interconnect_wrap,cwe1234,"locked_register@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/soc_interconnect_wrap_netlist.v:[64245-64247,64349,64393-64395,64397-64399,64409,64423] | not_gate@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/soc_interconnect_wrap_netlist.v:[64413,64418] | rec_or@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/soc_interconnect_wrap_netlist.v:[64419] | top_and@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/soc_interconnect_wrap_netlist.v:[64332,64412] | unlock_logic@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/soc_interconnect_wrap_netlist.v:[64332,64412]"
Cwe1234,soc_interconnect_wrap,cwe1234,"locked_register@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/soc_interconnect_wrap_netlist.v:[65394-65396,65398-65400,65410,65424] | not_gate@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/soc_interconnect_wrap_netlist.v:[65414,65419] | rec_or@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/soc_interconnect_wrap_netlist.v:[65420] | top_and@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/soc_interconnect_wrap_netlist.v:[65413] | unlock_logic@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/soc_interconnect_wrap_netlist.v:[65413]"
Cwe1234,soc_interconnect_wrap,cwe1234,"locked_register@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/soc_interconnect_wrap_netlist.v:[64864-64866,64968,65012-65014,65016-65018,65028,65042] | not_gate@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/soc_interconnect_wrap_netlist.v:[65032,65037] | rec_or@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/soc_interconnect_wrap_netlist.v:[65038] | top_and@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/soc_interconnect_wrap_netlist.v:[64951,65031] | unlock_logic@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/soc_interconnect_wrap_netlist.v:[64951,65031]"
Cwe1234,soc_interconnect_wrap,cwe1234,"locked_register@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/soc_interconnect_wrap_netlist.v:[64775-64777,64779-64781,64791,64805] | not_gate@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/soc_interconnect_wrap_netlist.v:[64795,64800] | rec_or@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/soc_interconnect_wrap_netlist.v:[64801] | top_and@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/soc_interconnect_wrap_netlist.v:[64794] | unlock_logic@/home/nick/Projects/svql/examples/fixtures/larger_designs/verilog/hackatdac18/soc_interconnect_wrap_netlist.v:[64794]"
Cwe1234,soc_peripherals,cwe1234,"locked_register@examples/fixtures/larger_designs/verilog/hackatdac18/soc_peripherals_netlist.v:[60513,60515-60517,60531-60536,60544,60558] | not_gate@examples/fixtures/larger_designs/verilog/hackatdac18/soc_peripherals_netlist.v:[60548,60553] | rec_or@examples/fixtures/larger_designs/verilog/hackatdac18/soc_peripherals_netlist.v:[60554] | top_and@examples/fixtures/larger_designs/verilog/hackatdac18/soc_peripherals_netlist.v:[60512,60547] | unlock_logic@examples/fixtures/larger_designs/verilog/hackatdac18/soc_peripherals_netlist.v:[60512,60547]"
Cwe1234,soc_peripherals,cwe1234,"locked_register@examples/fixtures/larger_designs/verilog/hackatdac18/soc_peripherals_netlist.v:[68390,68392-68394,68412-68417,68425,68439] | not_gate@examples/fixtures/larger_designs/verilog/hackatdac18/soc_peripherals_netlist.v:[68429,68434] | rec_or@examples/fixtures/larger_designs/verilog/hackatdac18/soc_peripherals_netlist.v:[68435] | top_and@examples/fixtures/larger_designs/verilog/hackatdac18/soc_peripherals_netlist.v:[68389,68428] | unlock_logic@examples/fixtures/larger_designs/verilog/hackatdac18/soc_peripherals_netlist.v:[68389,68428]"
Cwe1234,soc_peripherals,cwe1234,"locked_register@examples/fixtures/larger_designs/verilog/hackatdac18/soc_peripherals_netlist.v:[57957,57959-57961,57979-57984,57992,58006] | not_gate@examples/fixtures/larger_designs/verilog/hackatdac18/soc_peripherals_netlist.v:[57996,58001] | rec_or@examples/fixtures/larger_designs/verilog/hackatdac18/soc_peripherals_netlist.v:[58002] | top_and@examples/fixtures/larger_designs/verilog/hackatdac18/soc_peripherals_netlist.v:[57956,57995] | unlock_logic@examples/fixtures/larger_designs/verilog/hackatdac18/soc_peripherals_netlist.v:[57956,57995]"
Cwe1234,soc_peripherals,cwe1234,"locked_register@examples/fixtures/larger_designs/verilog/hackatdac18/soc_peripherals_netlist.v:[64282,64284-64286,64300-64305,64313,64327] | not_gate@examples/fixtures/larger_designs/verilog/hackatdac18/soc_peripherals_netlist.v:[64317,64322] | rec_or@examples/fixtures/larger_designs/verilog/hackatdac18/soc_peripherals_netlist.v:[64323] | top_and@examples/fixtures/larger_designs/verilog/hackatdac18/soc_peripherals_netlist.v:[64281,64316] | unlock_logic@examples/fixtures/larger_designs/verilog/hackatdac18/soc_peripherals_netlist.v:[64281,64316]"
Cwe1234,soc_peripherals,cwe1234,"locked_register@examples/fixtures/larger_designs/verilog/hackatdac18/soc_peripherals_netlist.v:[62919-62924,63015-63016] | not_gate@examples/fixtures/larger_designs/verilog/hackatdac18/soc_peripherals_netlist.v:[63060] | rec_or@examples/fixtures/larger_designs/verilog/hackatdac18/soc_peripherals_netlist.v:[62666] | top_and@examples/fixtures/larger_designs/verilog/hackatdac18/soc_peripherals_netlist.v:[62999] | unlock_logic@examples/fixtures/larger_designs/verilog/hackatdac18/soc_peripherals_netlist.v:[62999]"
Cwe1234,soc_peripherals,cwe1234,"locked_register@examples/fixtures/larger_designs/verilog/hackatdac18/soc_peripherals_netlist.v:[68146,68148-68150,68168-68173,68181,68195] | not_gate@examples/fixtures/larger_designs/verilog/hackatdac18/soc_peripherals_netlist.v:[68185,68190] | rec_or@examples/fixtures/larger_designs/verilog/hackatdac18/soc_peripherals_netlist.v:[68191] | top_and@examples/fixtures/larger_designs/verilog/hackatdac18/soc_peripherals_netlist.v:[68145,68184] | unlock_logic@examples/fixtures/larger_designs/verilog/hackatdac18/soc_peripherals_netlist.v:[68145,68184]"
